subs,Yvs,R2s
'012',0.617904654335073,0.998186142716319
'020',0.640503631556491,0.998211176138424
'021',0.587983590160015,0.970855689210875
'023',0.682154617763217,0.979709290266306
'024',0.661388552965624,0.999598604068231
'025',0.611354875297512,0.998463417991538
'026',0.4601809610673,0.928679973360612
'029',0.552015751818229,0.999954585735001
'030',0.675991303081047,0.995572270350959
'032',0.531301577906479,0.998160342569585
'033',0.493077113856641,0.991099000915928
'034',0.48829987025318,0.987854079194733
'036',0.578079774712993,0.999611322343873
'042',0.643650621395911,0.998775743710054
'046',0.680844020284662,0.999407383930224
'049',0.582819345970692,0.998820788397172
'050',0.655344056723097,0.999124768144788
'052',0.572365696827968,0.995016305791667
'055',0.546602747482277,0.996924521687157
'056',0.418569940795646,0.956983386614757
'059',0.645975257148855,0.999896207496695
'061',0.611293701931259,0.999947802869978
'062',0.553297398351006,0.992243629173804
'063',0.682144746950135,0.991921140795477
'068',0.602100667468263,0.996159999586002
'072',0.530682769763829,0.990485762228474
'073',0.629695812724384,0.999506462163844
'087',0.592430660019678,0.999933634101868
'088',0.634377444501823,0.999184102803015
'092',0.634518973211537,0.997983819818048
'094',0.588958042968895,0.999286307911138
'095',0.531180749244285,0.999372143090007
'098',0.675248412879553,0.998965898543131
'099',0.5300638117042,0.999928250031413
'100',0.655977809169383,0.997357727138857
'101',0.608663008739651,0.9997365868806
'103',0.662023485842579,0.999967620701342
'104',0.674616880431192,0.991964630493593
'106',0.486047802323977,0.99625009947874
'109',0.651308233269706,0.994680475509171
'111',0.4913116924349,0.997602477949031
'114',0.675424640365234,0.999539072409561
'116',0.528925247174436,0.999262221025351
'B0347',0.694342782930596,0.996864532916617
'B0356',0.685521164252362,0.998777725034115
'B0361',0.677696545296532,0.998775959548512
'B0362',0.588482991270951,0.997521709475459
'B0366',0.624862443846541,0.998641848672823
'B0369',0.656402220686065,0.994702688162598
'B0371',0.555997192351527,0.999388878084016
'B0373',0.593886276985701,0.998180926572075
'B0375',0.662000213798429,0.997269966846174
'B0383',0.73817083776601,0.998923726107242
'B0419',0.723759604875213,0.884358472957543
'B0431',0.603318852058195,0.953711320795739
'B0466',0.728431562267888,0.996894331570983
'B0467',0.612047554076303,0.975712117469986
'B0471',0.619687591622586,0.909448879578611
'B0478',0.488076715488496,0.999311789376723
'B0489',0.597128661486142,0.995888965442904
'B0493',0.578001099106654,0.999179310713205
'B0511',0.619544855641101,0.999866270442334
'B0539',0.525940479542375,0.998980191055753
